t,pos_err_mm,yaw_err_deg
0.050000,1.4321,0.0146
0.051000,1.4598,0.0149
0.052000,1.4874,0.0152
0.052000,4.3015,0.0150
0.053000,4.3811,0.0152
0.054000,4.4607,0.0155
0.055000,4.5404,0.0158
0.056000,4.6201,0.0161
0.057000,4.6999,0.0164
0.058000,4.7798,0.0167
0.059000,4.8597,0.0170
0.060000,4.9397,0.0173
0.061000,5.0197,0.0176
0.062000,5.0998,0.0179
0.063000,5.1799,0.0182
0.064000,5.2601,0.0185
0.065000,5.3404,0.0188
0.066000,5.4207,0.0191
0.067000,5.5010,0.0194
0.068000,5.5814,0.0197
0.069000,5.6619,0.0200
0.070000,5.7424,0.0203
0.071000,5.8230,0.0206
0.072000,5.9036,0.0209
0.073000,5.9843,0.0211
0.074000,6.0650,0.0214
0.075000,6.1458,0.0217
0.076000,6.2267,0.0220
0.077000,6.3076,0.0222
0.078000,6.3885,0.0225
0.079000,6.4696,0.0228
0.080000,6.5506,0.0230
0.081000,6.6318,0.0233
0.081000,4.3847,0.0224
0.082000,4.4381,0.0227
0.083000,4.4915,0.0230
0.084000,4.5450,0.0233
0.085000,4.5986,0.0236
0.102000,5.5176,0.0284
0.103000,5.5722,0.0287
0.132000,7.1789,0.0369
0.133000,7.2352,0.0372
0.150000,5.6900,0.0416
0.151000,5.7301,0.0419
0.152000,5.7703,0.0421
0.153000,5.8106,0.0424
0.154000,5.8509,0.0426
0.155000,5.8912,0.0429
0.156000,5.9317,0.0431
0.157000,5.9721,0.0434
0.158000,6.0126,0.0436
0.159000,6.0532,0.0439
0.160000,6.0938,0.0441
0.161000,6.1345,0.0444
0.162000,6.1753,0.0446
0.163000,6.2160,0.0449
0.164000,6.2569,0.0452
0.209000,8.1522,0.0580
0.210000,8.1956,0.0582
0.211000,8.2391,0.0585
0.212000,8.2827,0.0587
0.213000,8.3263,0.0590
0.214000,8.3699,0.0592
0.215000,8.4137,0.0595
0.216000,8.4574,0.0598
0.217000,8.5013,0.0600
0.218000,8.5452,0.0603
0.219000,8.5891,0.0605
0.220000,8.6331,0.0608
0.221000,8.6772,0.0611
0.222000,8.7213,0.0614
0.223000,8.7655,0.0616
0.224000,8.8097,0.0619
0.225000,8.8540,0.0621
0.226000,8.8983,0.0624
0.227000,8.9427,0.0627
0.229000,9.0317,0.0632
0.236000,9.3450,0.0652
0.238000,9.4350,0.0658
0.241000,9.5704,0.0667
0.242000,9.6156,0.0670
0.243000,9.6609,0.0673
0.244000,9.7063,0.0675
0.245000,9.7517,0.0678
0.264000,10.6247,0.0730
0.265000,10.6712,0.0732
0.266000,10.7177,0.0735
0.267000,10.7643,0.0738
0.268000,10.8109,0.0740
0.269000,10.8575,0.0743
0.270000,10.9043,0.0746
0.271000,10.9511,0.0748
0.272000,10.9979,0.0751
0.273000,11.0448,0.0754
0.274000,11.0918,0.0756
0.275000,11.1388,0.0759
0.276000,11.1858,0.0762
0.276000,6.7979,0.0747
0.277000,6.8284,0.0750
0.278000,6.8589,0.0753
0.279000,6.8895,0.0755
0.280000,6.9202,0.0758
0.281000,6.9509,0.0761
0.282000,6.9817,0.0764
0.283000,7.0125,0.0767
0.284000,7.0434,0.0769
0.285000,7.0743,0.0772
0.286000,7.1053,0.0775
0.287000,7.1363,0.0778
0.288000,7.1674,0.0780
0.289000,7.1985,0.0783
0.290000,7.2297,0.0786
0.291000,7.2610,0.0788
0.292000,7.2923,0.0791
0.293000,7.3236,0.0794
0.294000,7.3550,0.0797
0.295000,7.3865,0.0799
0.296000,7.4180,0.0802
0.297000,7.4495,0.0805
0.298000,7.4811,0.0807
0.299000,7.5128,0.0810
0.300000,7.5445,0.0813
0.313000,6.3326,0.0839
0.314000,6.3596,0.0842
0.315000,6.3867,0.0844
0.316000,6.4138,0.0847
0.317000,6.4410,0.0850
0.318000,6.4682,0.0852
0.319000,6.4955,0.0855
0.320000,6.5228,0.0857
0.321000,6.5502,0.0860
0.322000,6.5777,0.0862
0.323000,6.6052,0.0865
0.324000,6.6327,0.0867
0.325000,6.6604,0.0870
0.326000,6.6880,0.0872
0.327000,6.7157,0.0875
0.328000,6.7435,0.0877
0.329000,6.7713,0.0880
0.330000,6.7992,0.0883
0.331000,6.8272,0.0885
0.332000,6.8552,0.0888
0.333000,6.8832,0.0890
0.334000,6.9113,0.0893
0.335000,6.9394,0.0896
0.336000,6.9676,0.0898
0.451000,6.5670,0.1076
0.452000,6.5931,0.1078
0.453000,6.6192,0.1081
0.454000,6.6454,0.1083
0.455000,6.6717,0.1085
0.456000,6.6980,0.1088
0.457000,6.7243,0.1090
0.458000,6.7508,0.1093
0.459000,6.7772,0.1095
0.460000,6.8038,0.1097
0.461000,6.8303,0.1100
0.462000,6.8570,0.1102
0.463000,6.8837,0.1104
0.464000,6.9104,0.1107
0.465000,6.9372,0.1109
0.466000,6.9641,0.1111
0.467000,6.9910,0.1114
0.468000,7.0180,0.1116
0.481000,7.3738,0.1146
0.482000,7.4016,0.1149
0.483000,7.4295,0.1151
0.484000,7.4574,0.1154
0.485000,7.4854,0.1156
0.486000,7.5135,0.1158
0.487000,7.5416,0.1161
0.488000,7.5697,0.1163
0.489000,7.5980,0.1166
0.490000,7.6263,0.1168
0.491000,7.6546,0.1171
0.492000,7.6831,0.1173
0.493000,7.7115,0.1176
0.494000,7.7401,0.1178
0.495000,7.7687,0.1181
0.496000,7.7974,0.1183
0.497000,7.8261,0.1186
0.498000,7.8549,0.1188
0.499000,7.8837,0.1191
0.500000,7.9126,0.1194
0.501000,7.9416,0.1196
0.502000,7.9706,0.1198
0.503000,7.9997,0.1201
0.503000,5.9536,0.1035
0.504000,5.9776,0.1038
0.505000,6.0015,0.1040
0.506000,6.0256,0.1042
0.507000,6.0497,0.1044
0.508000,6.0739,0.1046
0.509000,6.0981,0.1048
0.510000,6.1224,0.1050
0.511000,6.1466,0.1053
0.512000,6.1708,0.1055
0.513000,6.1952,0.1057
0.514000,6.2196,0.1059
0.515000,6.2441,0.1062
0.516000,6.2686,0.1064
0.517000,6.2933,0.1066
0.518000,6.3180,0.1068
0.519000,6.3428,0.1071
0.520000,6.3677,0.1073
0.521000,6.3921,0.1075
0.522000,6.4166,0.1077
0.523000,6.4412,0.1079
0.524000,6.4659,0.1081
0.525000,6.4907,0.1083
0.526000,6.5157,0.1085
0.527000,6.5407,0.1087
0.528000,6.5659,0.1089
0.529000,6.5912,0.1091
0.529000,5.6135,0.0935
0.530000,5.6369,0.0936
0.530000,5.7530,0.0640
0.531000,5.7754,0.0641
0.532000,5.7980,0.0642
0.533000,5.8207,0.0643
0.534000,5.8436,0.0644
0.535000,5.8667,0.0646
0.536000,5.8900,0.0647
0.537000,5.9134,0.0648
0.538000,5.9371,0.0650
0.539000,5.9609,0.0651
0.540000,5.9849,0.0653
0.541000,6.0072,0.0654
0.542000,6.0296,0.0656
0.543000,6.0523,0.0657
0.544000,6.0753,0.0659
0.545000,6.0985,0.0660
0.546000,6.1220,0.0662
0.547000,6.1457,0.0663
0.548000,6.1697,0.0664
0.549000,6.1940,0.0666
0.550000,6.2186,0.0667
0.551000,6.2404,0.0669
0.552000,6.2626,0.0670
0.553000,6.2851,0.0672
0.554000,6.3079,0.0673
0.555000,6.3311,0.0674
0.556000,6.3546,0.0676
0.557000,6.3786,0.0677
0.558000,6.4028,0.0679
0.559000,6.4275,0.0680
0.560000,6.4526,0.0682
0.561000,6.4739,0.0683
0.562000,6.4956,0.0684
0.562000,7.0436,0.0613
0.563000,7.0678,0.0614
0.564000,7.0924,0.0615
0.565000,7.1174,0.0617
0.566000,7.1429,0.0618
0.567000,7.1688,0.0619
0.568000,7.1952,0.0621
0.569000,7.2220,0.0622
0.570000,7.2493,0.0623
0.571000,7.2721,0.0624
0.572000,7.2954,0.0625
0.573000,7.3192,0.0627
0.574000,7.3436,0.0628
0.575000,7.3684,0.0629
0.576000,7.3938,0.0630
0.577000,7.4198,0.0632
0.578000,7.4464,0.0633
0.579000,7.4735,0.0634
0.579000,6.7128,0.0328
0.580000,6.7402,0.0329
0.581000,6.7616,0.0330
0.582000,6.7836,0.0331
0.583000,6.8064,0.0332
0.584000,6.8298,0.0332
0.585000,6.8539,0.0333
0.586000,6.8787,0.0334
0.587000,6.9042,0.0335
0.588000,6.9305,0.0335
0.589000,6.9575,0.0336
0.590000,6.9852,0.0336
0.591000,7.0063,0.0337
0.592000,7.0281,0.0338
0.593000,7.0507,0.0338
0.594000,7.0741,0.0339
0.595000,7.0983,0.0339
0.596000,7.1234,0.0340
0.597000,7.1493,0.0341
0.598000,7.1760,0.0342
0.599000,7.2034,0.0342
0.600000,7.2315,0.0343
0.601000,7.2542,0.0344
0.602000,7.2777,0.0345
0.603000,7.3017,0.0345
0.604000,7.3265,0.0346
0.605000,7.3518,0.0346
0.606000,7.3779,0.0347
0.607000,7.4045,0.0347
0.608000,7.4319,0.0348
0.609000,7.4600,0.0348
0.610000,7.4888,0.0348
0.611000,7.5101,0.0349
0.612000,7.5322,0.0349
0.613000,7.5551,0.0350
0.614000,7.5788,0.0350
0.615000,7.6033,0.0351
0.616000,7.6287,0.0351
0.617000,7.6550,0.0352
0.618000,7.6822,0.0353
0.619000,7.7104,0.0353
0.620000,7.7395,0.0354
0.621000,7.7584,0.0355
0.622000,7.7784,0.0356
0.623000,7.7994,0.0357
0.624000,7.8216,0.0358
0.625000,7.8449,0.0359
0.626000,7.8693,0.0359
0.627000,7.8950,0.0360
0.628000,7.9219,0.0361
0.629000,7.9501,0.0362
0.630000,7.9795,0.0363
0.631000,7.9957,0.0364
0.631000,7.0683,0.0109
0.631000,6.4081,0.0022
0.632000,6.4241,0.0022
0.633000,6.4416,0.0022
0.634000,6.4605,0.0023
0.635000,6.4809,0.0023
0.636000,6.5028,0.0023
0.637000,6.5263,0.0023
0.638000,6.5514,0.0024
0.639000,6.5781,0.0024
0.640000,6.6064,0.0024
0.641000,6.6182,0.0024
0.642000,6.6317,0.0024
0.643000,6.6470,0.0025
0.644000,6.6641,0.0025
0.645000,6.6830,0.0025
0.646000,6.7037,0.0025
0.647000,6.7264,0.0025
0.648000,6.7510,0.0026
0.649000,6.7775,0.0026
0.650000,6.8062,0.0026
0.651000,6.8155,0.0026
0.652000,6.8269,0.0026
0.653000,6.8404,0.0026
0.654000,6.8560,0.0026
0.655000,6.8738,0.0027
0.656000,6.8936,0.0027
0.657000,6.9156,0.0027
0.658000,6.9398,0.0027
0.659000,6.9663,0.0028
0.660000,6.9950,0.0028
0.661000,7.0016,0.0028
0.662000,7.0106,0.0028
0.663000,7.0219,0.0028
0.664000,7.0357,0.0028
0.665000,7.0519,0.0028
0.666000,7.0706,0.0028
0.667000,7.0917,0.0029
0.668000,7.1154,0.0029
0.669000,7.1417,0.0029
0.670000,7.1706,0.0029
0.671000,7.1751,0.0029
0.672000,7.1823,0.0030
0.672000,6.7688,0.0048
0.673000,6.7804,0.0048
0.674000,6.7952,0.0047
0.675000,6.8130,0.0047
0.676000,6.8339,0.0047
0.677000,6.8580,0.0047
0.677000,7.0132,0.0294
0.678000,7.0432,0.0294
0.679000,7.0760,0.0294
0.680000,7.1116,0.0294
0.681000,7.1216,0.0294
0.682000,7.1344,0.0294
0.683000,7.1501,0.0295
0.684000,7.1686,0.0295
0.685000,7.1900,0.0295
0.686000,7.2143,0.0295
0.687000,7.2416,0.0295
0.688000,7.2717,0.0296
0.689000,7.3049,0.0296
0.690000,7.3411,0.0296
0.691000,7.3507,0.0296
0.692000,7.3632,0.0296
0.693000,7.3788,0.0297
0.694000,7.3974,0.0297
0.695000,7.4189,0.0297
0.696000,7.4434,0.0298
0.697000,7.4710,0.0298
0.698000,7.5015,0.0298
0.699000,7.5351,0.0299
0.700000,7.5717,0.0299
0.701000,7.5816,0.0299
0.702000,7.5945,0.0299
0.703000,7.6104,0.0299
0.704000,7.6294,0.0299
0.705000,7.6513,0.0299
0.706000,7.6763,0.0299
0.707000,7.7043,0.0299
0.707000,7.2464,0.0445
0.708000,7.2760,0.0445
0.709000,7.3084,0.0445
0.710000,7.3437,0.0446
0.711000,7.3542,0.0446
0.712000,7.3676,0.0446
0.713000,7.3838,0.0446
0.714000,7.4027,0.0447
0.715000,7.4245,0.0447
0.716000,7.4490,0.0448
0.717000,7.4763,0.0448
0.718000,7.5065,0.0448
0.719000,7.5394,0.0449
0.720000,7.5753,0.0449
0.721000,7.5863,0.0449
0.722000,7.6000,0.0450
0.723000,7.6166,0.0450
0.724000,7.6361,0.0451
0.725000,7.6583,0.0451
0.726000,7.6833,0.0451
0.727000,7.7112,0.0451
0.728000,7.7419,0.0452
0.729000,7.7754,0.0452
0.730000,7.8118,0.0453
0.730000,7.2408,0.0502
0.731000,7.2510,0.0503
0.732000,7.2638,0.0503
0.733000,7.2793,0.0504
0.734000,7.2974,0.0504
0.735000,7.3181,0.0505
0.736000,7.3413,0.0506
0.737000,7.3672,0.0506
0.738000,7.3957,0.0507
0.739000,7.4269,0.0507
0.740000,7.4607,0.0508
0.741000,7.4713,0.0508
0.742000,7.4845,0.0509
0.743000,7.5003,0.0509
0.744000,7.5188,0.0510
0.745000,7.5398,0.0510
0.746000,7.5635,0.0510
0.747000,7.5898,0.0510
0.748000,7.6188,0.0510
0.749000,7.6505,0.0511
0.750000,7.6848,0.0511
0.751000,7.6954,0.0511
0.752000,7.7087,0.0512
0.753000,7.7247,0.0512
0.754000,7.7433,0.0513
0.755000,7.7646,0.0513
0.755000,7.0382,0.0684
0.756000,7.0596,0.0685
0.757000,7.0835,0.0686
0.758000,7.1101,0.0687
0.759000,7.1392,0.0688
0.760000,7.1710,0.0689
0.761000,7.1799,0.0690
0.762000,7.1915,0.0690
0.763000,7.2056,0.0691
0.764000,7.2223,0.0692
0.765000,7.2416,0.0693
0.766000,7.2635,0.0694
0.767000,7.2880,0.0695
0.768000,7.3150,0.0696
0.769000,7.3447,0.0697
0.770000,7.3770,0.0698
0.771000,7.3865,0.0698
0.772000,7.3986,0.0699
0.773000,7.4133,0.0700
0.774000,7.4306,0.0701
0.775000,7.4504,0.0702
0.776000,7.4728,0.0703
0.777000,7.4978,0.0703
0.778000,7.5254,0.0704
0.779000,7.5557,0.0705
0.780000,7.5885,0.0705
0.781000,7.5986,0.0706
0.781000,6.8200,0.0835
0.782000,6.8299,0.0836
0.783000,6.8424,0.0837
0.784000,6.8574,0.0837
0.785000,6.8749,0.0838
0.786000,6.8949,0.0839
0.787000,6.9174,0.0839
0.788000,6.9425,0.0840
0.789000,6.9702,0.0841
0.790000,7.0004,0.0842
0.791000,7.0082,0.0842
0.792000,7.0187,0.0843
0.793000,7.0316,0.0844
0.794000,7.0471,0.0845
0.795000,7.0651,0.0846
0.796000,7.0856,0.0847
0.797000,7.1086,0.0848
0.798000,7.1342,0.0849
0.799000,7.1623,0.0850
0.800000,7.1931,0.0851
0.801000,7.2014,0.0852
0.802000,7.2123,0.0852
0.803000,7.2258,0.0853
0.804000,7.2417,0.0854
0.805000,7.2602,0.0855
0.806000,7.2813,0.0855
0.807000,7.3049,0.0856
0.808000,7.3310,0.0857
0.809000,7.3597,0.0857
0.810000,7.3910,0.0858
0.811000,7.4000,0.0859
0.812000,7.4115,0.0860
0.813000,7.4255,0.0861
0.814000,7.4421,0.0862
0.815000,7.4612,0.0864
0.815000,6.7890,0.0899
0.816000,6.8081,0.0900
0.817000,6.8296,0.0901
0.818000,6.8536,0.0902
0.819000,6.8802,0.0903
0.820000,6.9093,0.0904
0.821000,6.9164,0.0905
0.822000,6.9260,0.0907
0.823000,6.9381,0.0908
0.824000,6.9527,0.0909
0.825000,6.9698,0.0910
0.826000,6.9893,0.0911
0.827000,7.0114,0.0913
0.828000,7.0360,0.0914
0.829000,7.0631,0.0914
0.830000,7.0928,0.0915
0.831000,7.1003,0.0917
0.832000,7.1104,0.0918
0.833000,7.1229,0.0919
0.834000,7.1380,0.0920
0.835000,7.1555,0.0921
0.836000,7.1755,0.0922
0.837000,7.1981,0.0924
0.838000,7.2231,0.0925
0.839000,7.2507,0.0926
0.840000,7.2808,0.0927
0.841000,7.2889,0.0928
0.842000,7.2995,0.0929
0.843000,7.3126,0.0930
0.844000,7.3282,0.0931
0.845000,7.3463,0.0932
0.846000,7.3669,0.0933
0.847000,7.3900,0.0934
0.848000,7.4156,0.0935
0.849000,7.4438,0.0936
0.850000,7.4746,0.0937
0.851000,7.4832,0.0938
0.852000,7.4944,0.0939
0.853000,7.5080,0.0940
0.854000,7.5242,0.0941
0.854000,6.7464,0.1118
0.855000,6.7619,0.1119
0.856000,6.7798,0.1120
0.857000,6.8000,0.1121
0.858000,6.8225,0.1122
0.859000,6.8475,0.1123
0.860000,6.8749,0.1124
0.861000,6.8815,0.1126
0.862000,6.8906,0.1127
0.863000,6.9020,0.1128
0.864000,6.9158,0.1130
0.865000,6.9319,0.1131
0.866000,6.9503,0.1132
0.867000,6.9711,0.1134
0.868000,6.9943,0.1135
0.869000,7.0198,0.1136
0.870000,7.0478,0.1138
0.871000,7.0550,0.1139
0.872000,7.0646,0.1140
0.873000,7.0766,0.1141
0.874000,7.0909,0.1143
0.875000,7.1075,0.1144
0.876000,7.1265,0.1145
0.877000,7.1478,0.1146
0.877000,6.7900,0.1115
0.877000,6.5729,0.1271
0.878000,6.5942,0.1272
0.879000,6.6179,0.1274
0.880000,6.6440,0.1275
0.881000,6.6491,0.1276
0.882000,6.6566,0.1277
0.883000,6.6665,0.1279
0.884000,6.6788,0.1280
0.885000,6.6935,0.1281
0.886000,6.7105,0.1283
0.887000,6.7300,0.1284
0.888000,6.7518,0.1285
0.889000,6.7761,0.1287
0.890000,6.8028,0.1288
0.891000,6.8084,0.1289
0.892000,6.8163,0.1290
0.893000,6.8266,0.1291
0.894000,6.8393,0.1293
0.895000,6.8545,0.1294
0.896000,6.8720,0.1295
0.897000,6.8919,0.1296
0.898000,6.9142,0.1297
0.899000,6.9389,0.1298
0.900000,6.9661,0.1299
0.901000,6.9722,0.1301
0.902000,6.9806,0.1302
0.903000,6.9915,0.1303
0.904000,7.0048,0.1305
0.905000,7.0205,0.1306
0.906000,7.0385,0.1307
0.907000,7.0590,0.1309
0.908000,7.0819,0.1310
0.909000,7.1073,0.1311
0.910000,7.1351,0.1312
0.911000,7.1416,0.1313
0.912000,7.1506,0.1314
0.913000,7.1620,0.1316
0.914000,7.1758,0.1317
0.915000,7.1920,0.1319
0.916000,7.2106,0.1320
0.917000,7.2316,0.1322
0.918000,7.2551,0.1323
0.919000,7.2810,0.1324
0.919000,6.9214,0.1412
0.920000,6.9480,0.1413
0.921000,6.9535,0.1415
0.922000,6.9614,0.1416
0.923000,6.9717,0.1417
0.924000,6.9843,0.1419
0.925000,6.9994,0.1420
0.926000,7.0168,0.1421
0.927000,7.0367,0.1423
0.928000,7.0589,0.1424
0.929000,7.0836,0.1426
0.929000,6.3120,0.1507
0.930000,6.3361,0.1508
0.931000,6.3390,0.1510
0.932000,6.3443,0.1512
0.933000,6.3520,0.1513
0.934000,6.3621,0.1515
0.935000,6.3745,0.1516
0.936000,6.3894,0.1518
0.937000,6.4067,0.1519
0.938000,6.4264,0.1521
0.939000,6.4485,0.1522
0.940000,6.4731,0.1524
0.941000,6.4763,0.1526
0.942000,6.4819,0.1528
0.943000,6.4899,0.1529
0.944000,6.5003,0.1531
0.945000,6.5132,0.1533
0.946000,6.5285,0.1534
0.947000,6.5461,0.1536
0.948000,6.5663,0.1538
0.949000,6.5889,0.1539
0.950000,6.6139,0.1541
0.951000,6.6175,0.1543
0.952000,6.6235,0.1544
0.953000,6.6319,0.1546
0.954000,6.6427,0.1548
0.955000,6.6560,0.1550
0.956000,6.6717,0.1552
0.957000,6.6899,0.1553
0.958000,6.7105,0.1555
0.958000,6.9442,0.1449
0.959000,6.9677,0.1451
0.960000,6.9936,0.1452
0.961000,6.9985,0.1453
0.962000,7.0057,0.1455
0.963000,7.0154,0.1456
0.964000,7.0274,0.1457
0.965000,7.0418,0.1458
0.966000,7.0586,0.1460
0.967000,7.0778,0.1461
0.968000,7.0994,0.1462
0.969000,7.1235,0.1463
0.970000,7.1499,0.1464
0.971000,7.1552,0.1465
0.972000,7.1629,0.1466
0.973000,7.1729,0.1468
0.974000,7.1854,0.1469
0.975000,7.2003,0.1470
0.976000,7.2175,0.1472
0.977000,7.2372,0.1473
0.978000,7.2593,0.1474
0.978000,6.7958,0.1567
0.979000,6.8184,0.1569
0.980000,6.8434,0.1570
0.981000,6.8472,0.1572
0.982000,6.8534,0.1573
0.983000,6.8620,0.1575
0.984000,6.8730,0.1576
0.985000,6.8863,0.1578
0.986000,6.9021,0.1580
0.987000,6.9203,0.1581
0.988000,6.9409,0.1583
0.989000,6.9639,0.1584
0.990000,6.9894,0.1586
0.991000,6.9935,0.1587
0.992000,7.0001,0.1588
0.993000,7.0091,0.1590
0.994000,7.0204,0.1591
0.995000,7.0342,0.1592
0.996000,7.0504,0.1593
0.997000,7.0691,0.1595
0.998000,7.0902,0.1596
0.999000,7.1137,0.1597
1.000000,7.1397,0.1599
1.001000,7.1443,0.1600
1.002000,7.1515,0.1602
1.003000,7.1610,0.1603
1.004000,7.1729,0.1604
1.005000,7.1873,0.1606
1.006000,7.2041,0.1607
1.007000,7.2233,0.1608
1.008000,7.2449,0.1610
1.009000,7.2690,0.1611
1.010000,7.2956,0.1613
1.011000,7.3008,0.1614
1.012000,7.3084,0.1616
1.013000,7.3184,0.1617
1.014000,7.3309,0.1619
1.015000,7.3458,0.1620
1.016000,7.3631,0.1621
1.017000,7.3828,0.1623
1.018000,7.4050,0.1624
1.018000,6.8617,0.1665
1.053000,7.3630,0.1722
1.059000,7.4690,0.1731
1.060000,7.4946,0.1732
1.061000,7.5003,0.1733
1.062000,7.5084,0.1735
1.063000,7.5186,0.1737
1.064000,7.5312,0.1739
1.075000,7.7075,0.1755
1.116000,7.1162,0.2112
1.117000,7.1330,0.2114
1.118000,7.1520,0.2115
1.119000,7.1733,0.2117
1.120000,7.1969,0.2119
1.121000,7.2006,0.2121
1.122000,7.2066,0.2123
1.123000,7.2148,0.2125
1.123000,7.0369,0.2002
1.124000,7.0464,0.2004
1.125000,7.0581,0.2006
1.126000,7.0720,0.2007
1.127000,7.0880,0.2009
1.128000,7.1062,0.2010
1.129000,7.1266,0.2012
1.130000,7.1492,0.2014
1.131000,7.1527,0.2015
1.132000,7.1584,0.2017
1.133000,7.1662,0.2019
1.134000,7.1762,0.2020
1.135000,7.1883,0.2022
1.136000,7.2026,0.2023
1.137000,7.2191,0.2025
1.138000,7.2378,0.2026
1.139000,7.2586,0.2028
1.140000,7.2817,0.2029
1.141000,7.2857,0.2031
1.142000,7.2918,0.2032
1.143000,7.3001,0.2033
1.144000,7.3106,0.2035
1.145000,7.3232,0.2036
1.149000,7.3956,0.2042
1.150000,7.4191,0.2044
1.151000,7.4236,0.2046
1.153000,7.4390,0.2049
1.154000,7.4500,0.2051
1.155000,7.4631,0.2052
1.156000,7.4784,0.2053
1.157000,7.4959,0.2055
1.158000,7.5156,0.2056
1.159000,7.5375,0.2058
1.160000,7.5615,0.2059
1.161000,7.5664,0.2061
1.162000,7.5735,0.2062
1.163000,7.5828,0.2064
1.164000,7.5942,0.2065
1.165000,7.6078,0.2067
1.165000,6.9763,0.2120
1.166000,6.9885,0.2122
1.167000,7.0025,0.2123
1.168000,7.0185,0.2125
1.169000,7.0364,0.2126
1.170000,7.0561,0.2128
1.171000,7.0593,0.2129
1.172000,7.0643,0.2130
1.173000,7.0712,0.2132
1.174000,7.0799,0.2134
1.175000,7.0906,0.2135
1.176000,7.1032,0.2137
1.177000,7.1176,0.2139
1.178000,7.1340,0.2141
1.179000,7.1522,0.2142
1.180000,7.1724,0.2144
1.180000,6.2453,0.2519
1.181000,6.2452,0.2521
1.182000,6.2473,0.2522
1.183000,6.2515,0.2524
1.184000,6.2577,0.2526
1.185000,6.2661,0.2528
1.186000,6.2767,0.2530
1.187000,6.2893,0.2532
1.188000,6.3041,0.2534
1.189000,6.3210,0.2536
1.190000,6.3400,0.2538
1.191000,6.3404,0.2540
1.192000,6.3429,0.2542
1.193000,6.3476,0.2544
1.194000,6.3543,0.2545
1.195000,6.3632,0.2547
1.196000,6.3741,0.2550
1.197000,6.3872,0.2552
1.198000,6.4025,0.2554
1.199000,6.4199,0.2556
1.200000,6.4395,0.2558
1.201000,6.4403,0.2560
1.202000,6.4432,0.2562
1.203000,6.4483,0.2565
1.204000,6.4554,0.2567
1.205000,6.4648,0.2569
1.206000,6.4762,0.2571
1.207000,6.4899,0.2573
1.208000,6.5056,0.2574
1.209000,6.5235,0.2576
1.210000,6.5436,0.2578
1.211000,6.5449,0.2580
1.212000,6.5483,0.2581
1.213000,6.5539,0.2583
1.214000,6.5615,0.2585
1.215000,6.5714,0.2587
1.215000,5.6509,0.2527
1.216000,5.6600,0.2529
1.217000,5.6711,0.2531
1.218000,5.6845,0.2532
1.219000,5.7000,0.2534
1.220000,5.7177,0.2536
1.221000,5.7165,0.2538
1.222000,5.7174,0.2540
1.223000,5.7205,0.2542
1.224000,5.7257,0.2544
1.225000,5.7331,0.2546
1.226000,5.7426,0.2549
1.227000,5.7542,0.2551
1.228000,5.7681,0.2553
1.229000,5.7841,0.2555
1.230000,5.8023,0.2557
1.230000,5.4824,0.2637
1.231000,5.4806,0.2639
1.232000,5.4812,0.2640
1.233000,5.4840,0.2643
1.234000,5.4893,0.2645
1.235000,5.4968,0.2647
1.236000,5.5067,0.2649
1.237000,5.5190,0.2651
1.238000,5.5336,0.2653
1.239000,5.5506,0.2655
1.240000,5.5700,0.2657
1.241000,5.5687,0.2659
1.242000,5.5698,0.2661
1.243000,5.5733,0.2663
1.254000,5.6741,0.2687
1.255000,5.6827,0.2689
1.256000,5.6937,0.2691
1.257000,5.7071,0.2693
1.258000,5.7229,0.2696
1.259000,5.7410,0.2698
1.260000,5.7615,0.2700
1.261000,5.7613,0.2702
1.261000,5.3326,0.2741
1.267000,5.3798,0.2754
1.268000,5.3964,0.2756
1.269000,5.4156,0.2758
1.270000,5.4373,0.2760
1.271000,5.4371,0.2762
1.272000,5.4394,0.2764
1.273000,5.4442,0.2766
1.274000,5.4515,0.2768
1.275000,5.4613,0.2771
1.276000,5.4736,0.2773
1.277000,5.4884,0.2775
1.278000,5.5057,0.2777
1.279000,5.5255,0.2779
1.280000,5.5478,0.2782
1.281000,5.5483,0.2784
1.282000,5.5512,0.2786
1.283000,5.5567,0.2788
1.284000,5.5646,0.2790
1.285000,5.5750,0.2792
1.286000,5.5879,0.2794
1.287000,5.6033,0.2796
1.288000,5.6212,0.2798
1.289000,5.6416,0.2800
1.293000,5.6753,0.2808
1.305000,5.8205,0.2831
1.313000,5.9298,0.2848
1.313000,6.3229,0.2472
1.314000,6.3323,0.2474
1.315000,6.3442,0.2475
1.316000,6.3585,0.2477
1.317000,6.3751,0.2479
1.318000,6.3941,0.2480
1.319000,6.4155,0.2482
1.320000,6.4394,0.2484
1.321000,6.4422,0.2486
1.322000,6.4475,0.2487
1.323000,6.4552,0.2489
1.324000,6.4652,0.2490
1.358000,6.9679,0.2548
1.359000,6.9914,0.2550
1.360000,7.0172,0.2552
1.361000,7.0225,0.2553
1.362000,7.0302,0.2555
1.363000,7.0402,0.2557
1.364000,7.0525,0.2559
1.365000,7.0672,0.2561
1.366000,7.0842,0.2562
1.367000,7.1035,0.2564
1.368000,7.1251,0.2566
1.369000,7.1491,0.2568
1.370000,7.1754,0.2570
1.371000,7.1813,0.2572
1.372000,7.1896,0.2574
1.373000,7.2002,0.2576
1.374000,7.2130,0.2578
1.375000,7.2282,0.2580
1.376000,7.2457,0.2581
1.377000,7.2656,0.2583
1.378000,7.2877,0.2585
1.379000,7.3121,0.2586
1.406000,6.5396,0.2272
1.408000,6.5756,0.2274
