t,pos_err_mm,yaw_err_deg
0.065000,2.5539,0.0173
0.066000,2.5922,0.0176
0.067000,2.6305,0.0179
0.068000,2.6689,0.0182
0.069000,2.7073,0.0185
0.076000,2.9775,0.0206
0.091000,9.5524,0.0246
0.101000,8.2069,0.0267
0.102000,8.2874,0.0270
0.103000,8.3679,0.0273
0.104000,8.4484,0.0276
0.105000,8.5290,0.0279
0.106000,8.6097,0.0282
0.107000,8.6904,0.0285
0.108000,8.7711,0.0288
0.109000,8.8519,0.0290
0.110000,8.9328,0.0293
0.111000,9.0137,0.0296
0.112000,9.0947,0.0298
0.113000,9.1757,0.0301
0.114000,9.2567,0.0303
0.115000,9.3378,0.0306
0.116000,9.4189,0.0308
0.117000,9.5001,0.0311
0.118000,9.5814,0.0314
0.119000,9.6627,0.0316
0.120000,9.7440,0.0319
0.121000,9.8254,0.0322
0.122000,9.9068,0.0324
0.123000,9.9883,0.0327
0.124000,10.0698,0.0330
0.125000,10.1514,0.0333
0.126000,10.2330,0.0336
0.127000,10.3146,0.0339
0.128000,10.3963,0.0342
0.129000,10.4781,0.0345
0.130000,10.5599,0.0348
0.131000,10.6417,0.0351
0.132000,10.7236,0.0354
0.133000,10.8055,0.0357
0.134000,10.8874,0.0360
0.135000,10.9695,0.0363
0.136000,11.0515,0.0366
0.137000,11.1336,0.0369
0.138000,11.2158,0.0372
0.139000,11.2980,0.0376
0.140000,11.3803,0.0379
0.141000,11.4626,0.0382
0.142000,11.5449,0.0385
0.143000,11.6274,0.0388
0.144000,11.7098,0.0391
0.145000,11.7923,0.0394
0.146000,11.8749,0.0398
0.147000,11.9574,0.0401
0.148000,12.0401,0.0404
0.149000,12.1228,0.0407
0.150000,12.2055,0.0410
0.140000,7.0723,0.0384
0.141000,7.1238,0.0387
0.142000,7.1753,0.0390
0.143000,7.2269,0.0393
0.144000,7.2786,0.0396
0.145000,7.3303,0.0399
0.146000,7.3820,0.0402
0.147000,7.4338,0.0405
0.148000,7.4857,0.0408
0.149000,7.5376,0.0410
0.150000,7.5895,0.0413
0.151000,7.6416,0.0416
0.152000,7.6936,0.0419
0.153000,7.7457,0.0421
0.154000,7.7979,0.0424
0.155000,7.8502,0.0427
0.155000,5.7609,0.0417
0.156000,5.7995,0.0420
0.157000,5.8382,0.0423
0.158000,5.8769,0.0425
0.159000,5.9157,0.0428
0.160000,5.9545,0.0431
0.161000,5.9935,0.0433
0.162000,6.0324,0.0436
0.163000,6.0715,0.0439
0.164000,6.1106,0.0441
0.165000,6.1497,0.0444
0.166000,6.1889,0.0447
0.167000,6.2282,0.0450
0.168000,6.2675,0.0453
0.169000,6.3069,0.0456
0.170000,6.3463,0.0459
0.171000,6.3858,0.0462
0.172000,6.4253,0.0465
0.173000,6.4649,0.0467
0.174000,6.5045,0.0470
0.175000,6.5442,0.0473
0.176000,6.5840,0.0477
0.177000,6.6238,0.0480
0.178000,6.6636,0.0483
0.179000,6.7035,0.0486
0.180000,6.7435,0.0488
0.181000,6.7835,0.0491
0.182000,6.8236,0.0494
0.183000,6.8638,0.0497
0.184000,6.9039,0.0500
0.185000,6.9442,0.0503
0.186000,6.9845,0.0506
0.187000,7.0248,0.0509
0.188000,7.0652,0.0512
0.189000,7.1057,0.0515
0.190000,7.1462,0.0518
0.191000,7.1868,0.0521
0.192000,7.2274,0.0524
0.193000,7.2680,0.0527
0.194000,7.3087,0.0531
0.195000,7.3495,0.0534
0.196000,7.3903,0.0537
0.197000,7.4312,0.0540
0.198000,7.4721,0.0542
0.199000,7.5131,0.0545
0.200000,7.5542,0.0548
0.201000,7.5953,0.0551
0.202000,7.6364,0.0554
0.203000,7.6776,0.0557
0.204000,7.7189,0.0559
0.205000,7.7602,0.0562
0.206000,7.8016,0.0565
0.207000,7.8430,0.0568
0.208000,7.8845,0.0571
0.209000,7.9260,0.0574
0.210000,7.9676,0.0577
0.210000,7.0684,0.0553
0.211000,7.1053,0.0556
0.212000,7.1423,0.0559
0.212000,5.6817,0.0547
0.213000,5.7114,0.0550
0.214000,5.7411,0.0552
0.215000,5.7709,0.0555
0.216000,5.8008,0.0558
0.217000,5.8307,0.0561
0.230000,6.2240,0.0595
0.231000,6.2546,0.0598
0.232000,6.2852,0.0600
0.236000,4.8507,0.0546
0.250000,5.1881,0.0578
0.251000,5.2126,0.0580
0.252000,5.2371,0.0583
0.253000,5.2617,0.0585
0.254000,5.2863,0.0587
0.255000,5.3110,0.0590
0.256000,5.3358,0.0592
0.257000,5.3606,0.0594
0.258000,5.3854,0.0597
0.259000,5.4103,0.0599
0.260000,5.4353,0.0601
0.261000,5.4603,0.0604
0.282000,5.9967,0.0657
0.292000,6.2599,0.0681
0.303000,6.5551,0.0707
0.304000,6.5822,0.0710
0.307000,6.6638,0.0717
0.310000,6.7459,0.0724
0.310000,5.9076,0.0691
0.311000,5.9327,0.0694
0.312000,5.9579,0.0696
0.313000,5.9831,0.0699
0.314000,6.0084,0.0701
0.315000,6.0337,0.0703
0.316000,6.0591,0.0705
0.317000,6.0846,0.0707
0.318000,6.1101,0.0710
0.319000,6.1357,0.0712
0.320000,6.1613,0.0714
0.321000,6.1870,0.0716
0.322000,6.2127,0.0718
0.323000,6.2385,0.0721
0.324000,6.2643,0.0723
0.325000,6.2903,0.0725
0.326000,6.3162,0.0727
0.327000,6.3422,0.0729
0.328000,6.3683,0.0732
0.329000,6.3945,0.0734
0.330000,6.4207,0.0736
0.331000,6.4469,0.0738
0.332000,6.4732,0.0741
0.333000,6.4996,0.0743
0.334000,6.5260,0.0745
0.335000,6.5525,0.0747
0.336000,6.5791,0.0750
0.337000,6.6057,0.0752
0.338000,6.6323,0.0754
0.339000,6.6590,0.0756
0.340000,6.6858,0.0759
0.340000,6.7727,0.0654
0.341000,6.7994,0.0656
0.342000,6.8261,0.0658
0.343000,6.8529,0.0660
0.344000,6.8797,0.0662
0.345000,6.9066,0.0664
0.346000,6.9335,0.0666
0.347000,6.9605,0.0668
0.348000,6.9875,0.0670
0.349000,7.0147,0.0672
0.350000,7.0418,0.0674
0.351000,7.0691,0.0676
0.352000,7.0963,0.0678
0.353000,7.1237,0.0680
0.354000,7.1511,0.0682
0.355000,7.1785,0.0684
0.356000,7.2060,0.0687
0.357000,7.2336,0.0689
0.357000,6.5363,0.0581
0.357000,5.6397,0.0524
0.358000,5.6630,0.0526
0.359000,5.6864,0.0527
0.360000,5.7098,0.0529
0.361000,5.7333,0.0531
0.362000,5.7568,0.0533
0.363000,5.7804,0.0535
0.364000,5.8040,0.0537
0.365000,5.8277,0.0539
0.366000,5.8515,0.0540
0.367000,5.8753,0.0542
0.368000,5.8991,0.0543
0.369000,5.9230,0.0545
0.370000,5.9470,0.0546
0.371000,5.9710,0.0548
0.372000,5.9951,0.0549
0.373000,6.0192,0.0551
0.374000,6.0433,0.0553
0.375000,6.0675,0.0554
0.376000,6.0918,0.0556
0.377000,6.1161,0.0558
0.378000,6.1405,0.0560
0.379000,6.1649,0.0562
0.380000,6.1894,0.0564
0.381000,6.2140,0.0566
0.382000,6.2386,0.0568
0.383000,6.2632,0.0570
0.384000,6.2879,0.0572
0.385000,6.3127,0.0574
0.386000,6.3375,0.0575
0.387000,6.3624,0.0577
0.388000,6.3873,0.0579
0.389000,6.4123,0.0580
0.389000,6.3821,0.0413
0.390000,6.4068,0.0414
0.391000,6.4316,0.0416
0.404000,6.7587,0.0433
0.405000,6.7843,0.0435
0.406000,6.8099,0.0436
0.407000,6.8356,0.0437
0.408000,6.8613,0.0439
0.409000,6.8871,0.0440
0.410000,6.9129,0.0442
0.411000,6.9388,0.0443
0.412000,6.9647,0.0445
0.413000,6.9907,0.0446
0.414000,7.0168,0.0447
0.415000,7.0429,0.0449
0.416000,7.0690,0.0450
0.417000,7.0952,0.0451
0.417000,6.9156,0.0369
0.418000,6.9411,0.0370
0.419000,6.9666,0.0370
0.420000,6.9921,0.0371
0.421000,7.0177,0.0372
0.422000,7.0434,0.0373
0.423000,7.0691,0.0374
0.424000,7.0948,0.0375
0.425000,7.1206,0.0376
0.426000,7.1464,0.0377
0.427000,7.1723,0.0378
0.428000,7.1983,0.0379
0.429000,7.2243,0.0380
0.430000,7.2504,0.0381
0.431000,7.2765,0.0382
0.432000,7.3026,0.0383
0.433000,7.3288,0.0384
0.434000,7.3551,0.0386
0.435000,7.3814,0.0387
0.436000,7.4078,0.0388
0.437000,7.4342,0.0389
0.438000,7.4606,0.0390
0.439000,7.4872,0.0391
0.440000,7.5138,0.0392
0.441000,7.5404,0.0393
0.442000,7.5671,0.0394
0.443000,7.5939,0.0395
0.444000,7.6207,0.0396
0.445000,7.6476,0.0398
0.446000,7.6745,0.0399
0.447000,7.7015,0.0400
0.448000,7.7285,0.0401
0.449000,7.7556,0.0402
0.450000,7.7827,0.0403
0.451000,7.8099,0.0404
0.452000,7.8372,0.0405
0.453000,7.8645,0.0406
0.454000,7.8919,0.0407
0.456000,7.9469,0.0409
0.457000,7.9744,0.0410
0.458000,8.0021,0.0411
0.458000,7.0620,0.0363
0.461000,7.1379,0.0366
0.464000,7.2143,0.0370
0.465000,7.2400,0.0371
0.466000,7.2656,0.0372
0.467000,7.2913,0.0373
0.468000,7.3171,0.0374
0.469000,7.3430,0.0375
0.470000,7.3688,0.0376
0.471000,7.3948,0.0376
0.472000,7.4208,0.0377
0.477000,7.5515,0.0381
0.478000,7.5778,0.0382
0.479000,7.6042,0.0383
0.489000,7.8704,0.0392
0.491000,7.9242,0.0394
0.492000,7.9512,0.0395
0.497000,8.0870,0.0400
0.498000,8.1143,0.0402
0.499000,8.1417,0.0403
0.508000,7.6297,0.0285
0.509000,7.6556,0.0286
0.510000,7.6816,0.0287
0.511000,7.7076,0.0288
0.512000,7.7337,0.0289
0.513000,7.7598,0.0290
0.514000,7.7860,0.0291
0.515000,7.8122,0.0292
0.516000,7.8385,0.0293
0.517000,7.8649,0.0294
0.517000,7.4818,0.0164
0.518000,7.5071,0.0164
0.519000,7.5324,0.0165
0.520000,7.5577,0.0166
0.521000,7.5832,0.0167
0.522000,7.6086,0.0167
0.523000,7.6342,0.0168
0.524000,7.6598,0.0168
0.525000,7.6854,0.0169
0.526000,7.7111,0.0169
0.529000,7.7885,0.0170
0.530000,7.8144,0.0170
0.531000,7.8404,0.0171
0.532000,7.8664,0.0171
0.533000,7.8925,0.0172
0.534000,7.9187,0.0172
0.535000,7.9449,0.0172
0.536000,7.9712,0.0173
0.537000,7.9975,0.0173
0.538000,8.0238,0.0174
0.539000,8.0503,0.0174
0.540000,8.0768,0.0174
0.541000,8.1033,0.0175
0.542000,8.1299,0.0176
0.543000,8.1566,0.0176
0.544000,8.1833,0.0177
0.545000,8.2100,0.0178
0.546000,8.2369,0.0178
0.560000,7.9415,0.0154
0.561000,7.9679,0.0155
0.563000,7.3209,0.0063
0.564000,7.3454,0.0063
0.565000,7.3700,0.0063
0.566000,7.3945,0.0064
0.567000,7.4192,0.0064
0.568000,7.4439,0.0064
0.569000,7.4687,0.0064
0.570000,7.4935,0.0064
0.571000,7.5184,0.0064
0.572000,7.5433,0.0064
0.573000,7.5683,0.0064
0.574000,7.5933,0.0064
0.575000,7.6184,0.0064
0.576000,7.6436,0.0064
0.577000,7.6688,0.0064
0.578000,7.6940,0.0064
0.579000,7.7194,0.0064
0.580000,7.7447,0.0064
0.581000,7.7702,0.0064
0.582000,7.7956,0.0064
0.583000,7.8212,0.0065
0.584000,7.8468,0.0065
0.585000,7.8724,0.0065
0.586000,7.8981,0.0065
0.587000,7.9239,0.0065
0.588000,7.9497,0.0066
0.595000,8.1320,0.0067
0.602000,8.3169,0.0068
0.603000,8.3435,0.0068
0.604000,8.3702,0.0068
0.605000,8.3969,0.0068
0.606000,8.4237,0.0068
0.618000,7.9328,0.0059
0.619000,7.9583,0.0059
0.629000,8.2159,0.0063
0.634000,8.3467,0.0065
0.643000,8.5854,0.0065
0.649000,8.6029,0.0212
0.650000,8.6291,0.0212
0.651000,8.6554,0.0212
0.652000,8.6817,0.0212
0.653000,8.7081,0.0212
0.654000,8.7346,0.0212
0.655000,8.7610,0.0212
0.656000,8.7876,0.0212
0.657000,8.8142,0.0212
0.665000,9.0289,0.0213
0.666000,9.0560,0.0213
0.667000,9.0831,0.0213
0.668000,9.1103,0.0213
0.669000,9.1375,0.0213
0.670000,9.1647,0.0213
0.671000,9.1921,0.0213
0.672000,9.2195,0.0213
0.673000,9.2469,0.0213
0.674000,9.2744,0.0214
0.675000,9.3019,0.0214
0.676000,9.3295,0.0214
0.677000,9.3572,0.0215
0.687000,9.6366,0.0217
0.688000,9.6648,0.0217
0.689000,9.6931,0.0217
0.690000,9.7214,0.0217
0.691000,9.7497,0.0217
0.692000,9.7781,0.0217
0.693000,9.8066,0.0217
0.694000,9.8351,0.0217
0.695000,9.8637,0.0217
0.696000,9.8923,0.0217
0.697000,9.9209,0.0217
0.698000,9.9496,0.0217
0.699000,9.9784,0.0217
0.700000,10.0072,0.0218
0.701000,10.0361,0.0218
0.702000,10.0650,0.0218
0.703000,10.0940,0.0218
0.704000,10.1231,0.0219
0.705000,10.1522,0.0219
0.706000,10.1813,0.0219
0.707000,10.2105,0.0219
0.708000,10.2398,0.0219
0.709000,10.2691,0.0220
0.710000,10.2984,0.0220
0.711000,10.3278,0.0220
0.712000,10.3573,0.0220
0.713000,10.3868,0.0221
0.714000,10.4164,0.0221
0.715000,10.4460,0.0221
0.716000,10.4756,0.0221
0.717000,10.5053,0.0221
0.718000,10.5351,0.0222
0.719000,10.5649,0.0222
0.720000,10.5947,0.0222
0.721000,10.6246,0.0223
0.722000,10.6546,0.0223
0.723000,10.6846,0.0223
0.724000,10.7147,0.0224
0.725000,10.7448,0.0224
0.726000,10.7750,0.0224
0.727000,10.8052,0.0224
0.728000,10.8355,0.0224
0.729000,10.8658,0.0224
0.730000,10.8961,0.0224
0.731000,10.9266,0.0223
0.732000,10.9570,0.0223
0.733000,10.9876,0.0223
0.734000,11.0181,0.0223
0.735000,11.0488,0.0224
0.736000,11.0795,0.0224
0.736000,9.9576,0.0176
0.737000,9.9858,0.0176
0.738000,10.0139,0.0176
0.739000,10.0421,0.0176
0.740000,10.0704,0.0176
0.741000,10.0987,0.0176
0.742000,10.1270,0.0176
0.743000,10.1555,0.0176
0.744000,10.1839,0.0176
0.744000,9.3007,0.0303
0.745000,9.3266,0.0303
0.746000,9.3525,0.0304
0.747000,9.3785,0.0304
0.748000,9.4045,0.0305
0.749000,9.4306,0.0305
0.750000,9.4567,0.0306
0.751000,9.4829,0.0306
0.752000,9.5091,0.0306
0.753000,9.5354,0.0306
0.754000,9.5617,0.0307
0.754000,8.6927,0.0508
0.755000,8.7165,0.0508
0.756000,8.7404,0.0508
0.757000,8.7643,0.0509
0.758000,8.7883,0.0510
0.759000,8.8124,0.0510
0.760000,8.8364,0.0511
0.761000,8.8606,0.0512
0.762000,8.8847,0.0513
0.763000,8.9090,0.0513
0.764000,8.9332,0.0514
0.765000,8.9576,0.0514
0.766000,8.9819,0.0515
0.767000,9.0064,0.0516
0.768000,9.0308,0.0516
0.769000,9.0554,0.0517
0.770000,9.0799,0.0518
0.771000,9.1046,0.0518
0.772000,9.1292,0.0519
0.773000,9.1539,0.0519
0.774000,9.1787,0.0520
0.775000,9.2035,0.0521
0.776000,9.2284,0.0521
0.777000,9.2533,0.0522
0.778000,9.2782,0.0523
0.779000,9.3032,0.0523
0.780000,9.3283,0.0524
0.781000,9.3534,0.0525
0.782000,9.3785,0.0525
0.783000,9.4037,0.0526
0.784000,9.4289,0.0527
0.785000,9.4542,0.0527
0.786000,9.4795,0.0528
0.787000,9.5049,0.0528
0.788000,9.5303,0.0529
0.789000,9.5557,0.0530
0.790000,9.5812,0.0530
0.791000,9.6067,0.0531
0.792000,9.6323,0.0532
0.792000,8.9078,0.0455
0.793000,8.9321,0.0456
0.794000,8.9564,0.0457
0.795000,8.9809,0.0457
0.796000,9.0053,0.0458
0.797000,9.0298,0.0459
0.798000,9.0543,0.0459
0.799000,9.0789,0.0460
0.800000,9.1035,0.0460
0.801000,9.1282,0.0461
0.802000,9.1529,0.0461
0.803000,9.1776,0.0462
0.804000,9.2024,0.0462
0.805000,9.2273,0.0462
0.806000,9.2521,0.0463
0.807000,9.2771,0.0463
0.808000,9.3021,0.0463
0.823000,9.0479,0.0469
0.824000,9.0724,0.0469
0.842000,9.5202,0.0476
0.855000,9.8531,0.0481
0.856000,9.8790,0.0481
0.872000,10.2996,0.0482
0.878000,10.4602,0.0484
0.883000,10.5954,0.0486
0.884000,10.6225,0.0487
0.885000,10.6498,0.0487
0.886000,10.6770,0.0488
0.887000,10.7043,0.0488
0.902000,10.0425,0.0565
0.903000,10.0679,0.0565
0.904000,10.0933,0.0566
0.905000,10.1187,0.0566
0.906000,10.1442,0.0567
0.907000,10.1698,0.0567
0.908000,10.1953,0.0568
0.909000,10.2209,0.0568
0.910000,10.2466,0.0569
0.911000,10.2723,0.0570
0.912000,10.2980,0.0570
0.913000,10.3237,0.0571
0.914000,10.3496,0.0571
0.915000,10.3754,0.0572
0.916000,10.4013,0.0573
0.928000,10.7149,0.0579
0.929000,10.7413,0.0580
0.930000,10.7677,0.0580
0.930000,9.8620,0.0683
0.930000,9.0220,0.0791
0.931000,9.0433,0.0792
0.932000,9.0646,0.0792
0.933000,9.0860,0.0793
0.934000,9.1073,0.0794
0.935000,9.1288,0.0795
0.936000,9.1502,0.0795
0.937000,9.1717,0.0796
0.938000,9.1932,0.0797
0.941000,9.2579,0.0798
0.949000,9.4320,0.0804
0.959000,8.7436,0.0800
0.961000,8.7835,0.0801
0.962000,8.8035,0.0802
0.963000,8.8236,0.0803
0.964000,8.8437,0.0804
0.983000,9.2312,0.0816
0.997000,9.5245,0.0826
1.004000,9.6734,0.0831
1.005000,9.6948,0.0832
1.006000,9.7162,0.0833
1.007000,9.7377,0.0834
1.009000,9.7807,0.0835
1.010000,9.8023,0.0836
1.011000,9.8239,0.0836
1.024000,10.1078,0.0845
1.025000,10.1299,0.0846
1.026000,10.1520,0.0846
1.027000,10.1741,0.0847
1.028000,10.1963,0.0847
1.064000,9.9083,0.0754
1.065000,9.9293,0.0754
1.066000,9.9503,0.0754
1.067000,9.9713,0.0755
1.111000,10.9286,0.0778
1.112000,10.9511,0.0779
1.126000,11.2692,0.0786
1.127000,11.2921,0.0786
1.142000,11.6407,0.0796
1.150000,11.8296,0.0803
1.152000,11.8772,0.0804
1.155000,11.9488,0.0806
1.170000,12.3110,0.0819
1.171000,12.3354,0.0819
1.172000,12.3598,0.0820
1.173000,12.3843,0.0821
1.174000,12.4088,0.0822
1.176000,10.1270,0.0810
1.177000,10.1468,0.0811
1.178000,10.1666,0.0811
1.179000,10.1864,0.0812
1.180000,10.2062,0.0813
1.181000,10.2261,0.0814
1.182000,10.2459,0.0815
1.183000,10.2659,0.0816
1.184000,10.2858,0.0817
1.185000,10.3058,0.0818
1.186000,10.3258,0.0818
1.187000,10.3459,0.0819
1.188000,10.3659,0.0820
1.189000,10.3860,0.0821
1.190000,10.4062,0.0822
1.191000,10.4263,0.0823
1.192000,10.4465,0.0824
1.193000,10.4667,0.0825
1.194000,10.4869,0.0826
1.195000,10.5072,0.0827
1.196000,10.5275,0.0828
1.197000,10.5478,0.0829
1.198000,10.5682,0.0830
1.199000,10.5885,0.0831
1.200000,10.6090,0.0832
1.201000,10.6294,0.0833
1.202000,10.6498,0.0834
1.203000,10.6703,0.0835
1.204000,10.6908,0.0836
1.205000,10.7114,0.0836
1.206000,10.7320,0.0837
1.207000,10.7526,0.0838
1.208000,10.7732,0.0839
1.209000,10.7939,0.0840
1.210000,10.8146,0.0840
1.211000,10.8353,0.0841
1.212000,10.8561,0.0842
1.213000,10.8769,0.0843
1.214000,10.8977,0.0844
1.215000,10.9186,0.0845
1.216000,10.9395,0.0846
1.217000,10.9605,0.0846
1.218000,10.9814,0.0847
1.219000,11.0024,0.0848
1.220000,11.0234,0.0848
1.221000,11.0445,0.0849
1.222000,11.0655,0.0850
1.223000,11.0866,0.0851
1.224000,11.1077,0.0852
1.225000,11.1289,0.0853
1.225000,9.9679,0.0963
1.225000,9.0186,0.0997
1.226000,9.0342,0.0998
1.227000,9.0499,0.0998
1.228000,9.0655,0.0999
1.229000,9.0812,0.1000
1.230000,9.0969,0.1001
1.231000,9.1126,0.1002
1.232000,9.1284,0.1002
1.232000,8.2902,0.1136
1.233000,8.3036,0.1137
1.234000,8.3171,0.1138
1.235000,8.3305,0.1139
1.236000,8.3440,0.1140
1.237000,8.3575,0.1141
1.238000,8.3709,0.1142
1.239000,8.3844,0.1143
1.240000,8.3979,0.1143
1.241000,8.4115,0.1144
1.242000,8.4250,0.1145
1.243000,8.4386,0.1146
1.244000,8.4521,0.1147
1.245000,8.4657,0.1148
1.246000,8.4793,0.1149
1.247000,8.4930,0.1150
1.248000,8.5066,0.1151
1.249000,8.5203,0.1152
1.250000,8.5340,0.1153
1.251000,8.5476,0.1154
1.252000,8.5614,0.1155
1.253000,8.5751,0.1156
1.254000,8.5888,0.1157
1.255000,8.6026,0.1158
1.256000,8.6164,0.1159
1.257000,8.6301,0.1160
1.258000,8.6440,0.1161
1.259000,8.6578,0.1161
1.260000,8.6716,0.1162
1.261000,8.6855,0.1163
1.262000,8.6994,0.1164
1.263000,8.7133,0.1165
1.264000,8.7272,0.1166
1.265000,8.7412,0.1167
1.266000,8.7551,0.1167
1.267000,8.7691,0.1168
1.268000,8.7831,0.1169
1.269000,8.7972,0.1170
1.270000,8.8112,0.1171
1.271000,8.8253,0.1173
1.272000,8.8394,0.1174
1.273000,8.8535,0.1175
1.274000,8.8677,0.1176
1.275000,8.8818,0.1177
1.276000,8.8960,0.1178
1.276000,7.8475,0.1074
1.277000,7.8594,0.1075
1.278000,7.8713,0.1076
1.279000,7.8833,0.1077
1.279000,7.4763,0.1120
1.280000,7.4868,0.1121
1.281000,7.4973,0.1122
1.282000,7.5077,0.1122
1.283000,7.5182,0.1123
1.284000,7.5288,0.1124
1.285000,7.5393,0.1125
1.286000,7.5498,0.1125
1.287000,7.5604,0.1126
1.288000,7.5710,0.1127
1.289000,7.5816,0.1128
1.290000,7.5922,0.1129
1.291000,7.6028,0.1129
1.292000,7.6135,0.1130
1.293000,7.6241,0.1131
1.294000,7.6348,0.1132
1.295000,7.6455,0.1132
1.296000,7.6562,0.1133
1.297000,7.6669,0.1134
1.298000,7.6776,0.1134
1.299000,7.6884,0.1135
1.300000,7.6992,0.1136
1.301000,7.7100,0.1136
1.302000,7.7208,0.1137
1.303000,7.7316,0.1138
1.304000,7.7424,0.1139
1.305000,7.7533,0.1140
1.306000,7.7642,0.1140
1.307000,7.7751,0.1141
1.307000,7.0659,0.1282
1.308000,7.0749,0.1283
1.309000,7.0839,0.1284
1.310000,7.0928,0.1285
1.311000,7.1018,0.1286
1.312000,7.1108,0.1287
1.313000,7.1199,0.1288
1.314000,7.1289,0.1289
1.315000,7.1379,0.1290
1.316000,7.1470,0.1290
1.317000,7.1561,0.1291
1.318000,7.1652,0.1292
1.319000,7.1743,0.1293
1.320000,7.1834,0.1294
1.321000,7.1925,0.1295
1.322000,7.2017,0.1296
1.323000,7.2108,0.1296
1.324000,7.2200,0.1297
1.325000,7.2292,0.1298
1.326000,7.2384,0.1299
1.327000,7.2476,0.1300
1.328000,7.2568,0.1301
1.328000,6.6715,0.1272
1.329000,6.6792,0.1273
1.330000,6.6869,0.1274
1.331000,6.6946,0.1274
1.332000,6.7023,0.1275
1.333000,6.7100,0.1276
1.334000,6.7177,0.1276
1.335000,6.7254,0.1277
1.336000,6.7332,0.1277
1.337000,6.7409,0.1278
1.338000,6.7487,0.1278
1.339000,6.7565,0.1279
1.340000,6.7642,0.1279
1.341000,6.7720,0.1280
1.342000,6.7798,0.1281
1.343000,6.7877,0.1281
1.344000,6.7955,0.1282
1.345000,6.8033,0.1283
1.346000,6.8112,0.1284
1.347000,6.8190,0.1285
1.348000,6.8269,0.1285
1.349000,6.8347,0.1286
1.350000,6.8426,0.1287
1.351000,6.8505,0.1288
1.352000,6.8584,0.1289
1.353000,6.8663,0.1290
1.354000,6.8743,0.1291
1.355000,6.8822,0.1291
1.356000,6.8902,0.1292
1.357000,6.8982,0.1293
1.358000,6.9061,0.1294
1.359000,6.9141,0.1295
1.360000,6.9222,0.1296
1.361000,6.9302,0.1297
1.370000,7.0030,0.1308
1.371000,7.0112,0.1309
1.372000,7.0193,0.1310
1.373000,7.0275,0.1311
1.374000,7.0357,0.1312
1.375000,7.0439,0.1313
1.380000,6.2889,0.1401
1.380000,5.6218,0.1233
1.381000,5.6269,0.1234
1.382000,5.6319,0.1235
1.383000,5.6369,0.1236
1.384000,5.6420,0.1237
1.404000,5.7451,0.1255
1.405000,5.7504,0.1256
1.406000,5.7556,0.1256
1.407000,5.7609,0.1257
1.408000,5.7662,0.1258
1.409000,5.7715,0.1259
1.410000,5.7767,0.1259
1.411000,5.7820,0.1260
1.412000,5.7873,0.1261
1.413000,5.7927,0.1262
1.414000,5.7980,0.1262
1.415000,5.8033,0.1263
1.416000,5.8087,0.1264
1.417000,5.8140,0.1264
1.418000,5.8194,0.1265
1.419000,5.8248,0.1266
1.420000,5.8301,0.1267
1.421000,5.8355,0.1268
1.422000,5.8410,0.1270
1.423000,5.8464,0.1271
1.424000,5.8518,0.1272
1.425000,5.8573,0.1273
1.426000,5.8627,0.1274
1.427000,5.8682,0.1275
1.428000,5.8737,0.1276
1.429000,5.8791,0.1277
1.430000,5.8846,0.1278
1.431000,5.8902,0.1278
1.432000,5.8957,0.1279
1.433000,5.9012,0.1280
1.434000,5.9068,0.1281
1.435000,5.9123,0.1282
1.436000,5.9179,0.1282
1.437000,5.9235,0.1283
1.438000,5.9291,0.1284
1.439000,5.9347,0.1284
1.440000,5.9403,0.1285
1.441000,5.9459,0.1286
1.442000,5.9516,0.1287
1.443000,5.9572,0.1287
1.444000,5.9629,0.1288
1.444000,5.5262,0.1281
1.445000,5.5308,0.1282
1.446000,5.5355,0.1283
1.447000,5.5401,0.1283
1.448000,5.5448,0.1284
1.449000,5.5494,0.1285
1.450000,5.5541,0.1285
1.451000,5.5588,0.1286
1.452000,5.5635,0.1287
1.453000,5.5682,0.1288
1.454000,5.5729,0.1289
1.455000,5.5776,0.1290
1.456000,5.5824,0.1291
1.457000,5.5871,0.1292
1.458000,5.5918,0.1293
1.459000,5.5966,0.1293
1.459000,5.5117,0.1302
1.459000,5.5496,0.1276
1.460000,5.5537,0.1277
1.461000,5.5579,0.1278
1.462000,5.5620,0.1278
1.463000,5.5661,0.1279
1.464000,5.5703,0.1280
1.465000,5.5744,0.1281
1.466000,5.5786,0.1282
1.467000,5.5828,0.1283
1.468000,5.5869,0.1284
1.469000,5.5911,0.1285
1.470000,5.5953,0.1285
1.471000,5.5995,0.1286
1.472000,5.6037,0.1287
1.473000,5.6079,0.1288
1.474000,5.6121,0.1289
1.475000,5.6163,0.1290
1.476000,5.6206,0.1290
1.477000,5.6248,0.1291
1.478000,5.6290,0.1292
1.479000,5.6332,0.1293
1.480000,5.6374,0.1294
1.481000,5.6416,0.1294
1.482000,5.6459,0.1295
1.483000,5.6501,0.1296
1.484000,5.6543,0.1297
1.485000,5.6585,0.1298
1.486000,5.6628,0.1299
1.487000,5.6670,0.1300
1.488000,5.6712,0.1300
1.488000,5.9659,0.1245
1.489000,5.9706,0.1246
1.490000,5.9753,0.1247
1.491000,5.9800,0.1247
1.492000,5.9846,0.1248
1.493000,5.9893,0.1249
1.494000,5.9940,0.1250
1.495000,5.9987,0.1250
1.496000,6.0034,0.1251
1.497000,6.0081,0.1252
1.498000,6.0128,0.1253
1.499000,6.0175,0.1254
1.500000,6.0222,0.1254
1.501000,6.0269,0.1255
1.502000,6.0316,0.1255
